domain,label,Source_File,Type,Layer,Text,true,pred
Regions,l1,034-18-Ступино(1).dxf,TEXT,GOR_BDEFAULT,174,Служебные элементы,Рельеф
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Сплошные горизонтали проведены через 0.5м.,Служебные элементы,Рельеф
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Инженерно-топографический план,Служебные элементы,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Инженерно-топографическая съмка,Служебные элементы,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,03,GORK2,Служебные элементы,Неизвестно
Regions,l1,034-18-Ступино(1).dxf,TEXT,03,GORK1,Служебные элементы,Неизвестно
Regions,l1,034-18-Ступино(1).dxf,TEXT,0,Лавочки,Неизвестно,МАФ
Regions,l1,034-18-Ступино(1).dxf,TEXT,0,Условные обозначения,Неизвестно,Служебные элементы
Regions,l1,034-18-Ступино(1).dxf,TEXT,0,инвентаризации:,Неизвестно,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,0,Деревья,Неизвестно,Озеленение
Regions,l1,034-18-Ступино(1).dxf,TEXT,0,Горка,Неизвестно,Рельеф
Regions,l1,034-18-Ступино(1).dxf,TEXT,0,Вазы для цветов,Неизвестно,Служебные элементы
Regions,l1,034-18-Ступино(1).dxf,IMAGE,00p,,Неизвестно,Служебные элементы
Regions,l1,034-18-Ступино(1).dxf,IMAGE,00p,,Неизвестно,Служебные элементы
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,"низк.,выс. напряжения",Служебные элементы,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Силовые электрокабели,Служебные элементы,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Теплотрасса,Служебные элементы,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Канализация,Служебные элементы,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Кабель связи,Служебные элементы,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Водопровод,Служебные элементы,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Газопровод,Служебные элементы,Инженерные сети
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Сооружения,Служебные элементы,Здания и сооружения
Regions,l1,034-18-Ступино(1).dxf,TEXT,00r,Подземные коммуникации,Служебные элементы,Инженерные сети
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,171,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,171,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,168,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,MTEXT,0,"Детский сад {\fArial|b0|i0|c204|p34;№} 45 ""Колосок""",Неизвестно,Твердые покрытия
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,170,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,TEXT,Высоты,в.т.163.59,Служебные элементы,Рельеф
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,MTEXT,0,"Детский сад {\fArial|b0|i0|c204|p34;№} 45 ""Колосок""",Неизвестно,Твердые покрытия
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,MTEXT,0,Условные обозначения,Неизвестно,Служебные элементы
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,MTEXT,0,кустарник,Неизвестно,Озеленение
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,MTEXT,0,береза,Неизвестно,Озеленение
Regions,l1,06-2023-ИГДИ-парк Стрельбицкого.dxf,MTEXT,0,ива,Неизвестно,Служебные элементы
Regions,l1,121-19 Зарайск улицы.dxf,TEXT,0,Карусель,Неизвестно,Служебные элементы
Regions,l1,121-19 Зарайск улицы.dxf,CIRCLE,3 Карусель,,МАФ,Неизвестно
Regions,l1,121-19 Зарайск улицы.dxf,TEXT,0,Турник,Неизвестно,Служебные элементы
Regions,l1,121-19 Зарайск улицы.dxf,TEXT,0,Брусья,Неизвестно,Твердые покрытия
Regions,l1,121-19 Зарайск улицы.dxf,LWPOLYLINE,12 Кораблик,,Неизвестно,Служебные элементы
Regions,l1,121-19 Зарайск улицы.dxf,TEXT,0,Песочница,Неизвестно,Водопроницаемые покрытия
Regions,l1,121-19 Зарайск улицы.dxf,CIRCLE,4 Песочница,,МАФ,Неизвестно
Regions,l1,121-19 Зарайск улицы.dxf,TEXT,013,Лавочки,Служебные элементы,МАФ
Regions,l1,121-19 Зарайск улицы.dxf,TEXT,топоНомер,r10,Служебные элементы,Озеленение
Regions,l1,121-19 Зарайск улицы.dxf,TEXT,топоНомер,v14,Служебные элементы,Озеленение
Regions,l1,121-19 Зарайск улицы.dxf,TEXT,топоНомер,v10,Служебные элементы,Озеленение
